artist,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,is_top10
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45,80,0.61,0.83,0,-4.105,1,0.0571,0.0,0.11800000000000001,0.728,182.162,193000,4,1
Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF,86,0.778,0.317,1,-10.732000000000001,0,0.33399999999999996,0.0,0.0881,0.327,140.048,178627,4,1
Halsey,Without Me,5p7ujcrUXASCNwRaWNHR1C,83,0.752,0.488,6,-7.05,1,0.0705,9.11e-06,0.0936,0.5329999999999999,136.041,201661,4,1
Shawn Mendes,If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,80,0.6920000000000001,0.809,2,-4.198,1,0.0602,0.0,0.147,0.8640000000000001,123.911,190800,4,1
Ariana Grande,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,79,0.4,0.795,10,-3.7310000000000003,0,0.461,0.0,0.159,0.7020000000000001,190.097,186107,4,1
Post Malone,Wow.,7xQAfvXzm3AkraOtGPWIZg,83,0.8290000000000001,0.539,11,-7.359,0,0.20800000000000002,1.78e-06,0.10300000000000001,0.38799999999999996,99.96,149547,4,1
Various Artists,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,85,0.76,0.479,2,-5.574,1,0.0466,0.0,0.0703,0.9129999999999999,89.911,158040,4,1
Michael Jackson,Thriller,7azo4rpSUh8nXgtonC6Pkq,70,0.764,0.887,11,-3.725,1,0.0738,0.00010800000000000001,0.847,0.721,118.421,358053,4,1
Taylor Swift,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,81,0.7709999999999999,0.6709999999999999,2,-5.617000000000001,1,0.0553,0.0,0.0637,0.7140000000000001,85.02600000000001,171360,4,1
Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,84,0.741,0.52,8,-7.513,1,0.0656,1.97e-06,0.222,0.34700000000000003,102.99799999999999,171030,4,1
Drake,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,82,0.831,0.502,10,-4.045,0,0.046,0.0,0.122,0.10099999999999999,100.541,205427,4,1
Post Malone,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,82,0.5479999999999999,0.653,5,-3.875,1,0.081,0.0,0.10300000000000001,0.163,150.06799999999998,174853,4,1
Kanye West,Follow God,2QpGZOhTCHHiKmpSO9FW4h,74,0.529,0.9,1,-3.503,1,0.418,1.21e-05,0.0426,0.434,180.291,104591,4,1
Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88,0.511,0.5660000000000001,6,-7.23,0,0.2,0.0,0.34,0.218,83.90299999999999,239836,4,1
Andy Williams,It's the Most Wonderful Time of the Year,5hslUAKq9I9CG2bAulFkHN,66,0.24,0.598,7,-8.435,1,0.037000000000000005,0.0,0.11699999999999999,0.7759999999999999,202.082,151933,3,1
Burl Ives,A Holly Jolly Christmas - Single Version,65Q2mv3UlVi9eO70OpsmSe,55,0.6829999999999999,0.375,0,-13.056,1,0.0303,0.0,0.076,0.888,140.467,135533,4,1
Bobby Helms,Jingle Bell Rock,3hBXvHLlTHvnbwrPbeoyAj,67,0.754,0.424,2,-8.463,1,0.0363,0.0,0.0652,0.8059999999999999,119.705,130973,4,1
Various Artists,Rockin' Around the Christmas Tree - Re-Recorded Version,7ji4UjX0WGYSLxwYGz4aHH,22,0.682,0.6409999999999999,8,-8.915,1,0.0386,0.0,0.22399999999999998,0.826,141.002,126146,4,1
