artist,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,is_top10
Kipani,Enlighten Me,0UecNyb71SYvzslBrVToaX,13,0.357,0.606,0,-12.102,1,0.0388,0.874,0.119,0.629,161.721,198989,4,0
Matthew Joseph,Take the Crown,3TQnd8sFLrtTUjDQD6EeQk,17,0.574,0.577,6,-8.775,0,0.097,0.0,0.512,0.552,150.042,169805,4,0
Shae Brock,Hollywood Mansion,2vG3ijKdAjESrmf7WeDvE7,45,0.496,0.402,3,-7.027,0,0.033,0.000102,0.108,0.443,188.033,222633,3,0
Strac,My Castle,4njwbjA3rlxGRts9Z3zbPv,14,0.749,0.679,0,-10.659,1,0.0477,7.1e-05,0.148,0.56,146.006,179178,4,0
Matt Bednarsky,Alone with Your Thoughts,7GlxYEb4AbE3QOwbGWqCKc,27,0.613,0.265,1,-14.715,1,0.0495,0.000424,0.111,0.0857,94.622,216089,4,0
Brando,Don't Call Me,4bjyJV8VRlEEMWxq2fhRGS,53,0.681,0.726,0,-7.011,1,0.074,6.09e-05,0.156,0.22,113.983,164097,4,0
Jerome Obholz,Can You Tell Me,0nHf6bUUUOOXL9pptuZpyt,24,0.64,0.399,9,-11.344,0,0.056,1.51e-06,0.0857,0.147,93.054,202676,4,0
Hilary Lankford,Did It Rain,3JFvTnPk9llkmYAtiZgdvM,18,0.54,0.165,4,-10.234,0,0.036,0.0,0.121,0.346,97.937,163019,3,0
Chenél No.1,You have to breathe,1dvdkHK4XgMcxbmZ5Igh4s,22,0.416,0.374,0,-11.155,1,0.0277,0.0,0.141,0.532,180.176,222114,3,0
Linn Cervell,Complaining,1BqIs6vxNo2lRwtxUY2aAO,16,0.773,0.575,2,-9.808,1,0.0593,6.87e-05,0.135,0.739,102.013,167267,4,0
Lisa Beth,Flash Bang,11paXQQyeswppT5DWlh2R4,20,0.597,0.49,5,-11.101,0,0.0722,0.642,0.203,0.193,134.834,204461,4,0
5lowers,Summer Blues,0wBgyQ48T6FD8W2sZNFGle,26,0.454,0.294,1,-9.963,1,0.0346,6.86e-06,0.114,0.443,138.419,163526,4,0
Marsha Marsha Marsha,Treat Me Better,7Ci7X6mkidgBEjjRMdWT7u,17,0.573,0.931,2,-4.496,1,0.036,0.0,0.102,0.927,160.001,173131,4,0
GXNXSIS,Coffee Shop,6hUqvG3pksj07UkmWtXFiX,32,0.745,0.246,7,-14.3,1,0.117,0.935,0.0564,0.628,112.912,128000,3,0
Tanner Peterson,Sanity,4jgTCMLTcxQUaaEP2fhabi,17,0.744,0.608,2,-9.416,1,0.0465,0.0,0.295,0.557,111.983,263571,4,0
Drew Thomas,Lying on the Concrete,4faulUzhmUV1VcXtaQLtOO,10,0.557,0.522,9,-10.498,1,0.0375,0.0,0.0954,0.238,119.905,247525,4,0
Dundas,OUT,5k2YxSdW3UHRn6dX5DQ0Wb,1,0.714,0.547,5,-12.195,1,0.0337,5.82e-06,0.637,0.28,96.738,124146,4,0
Aaron Title,Missin' U,0L2p5m2WYyxn4D7MVwNqTF,14,0.669,0.47,11,-16.221,0,0.0368,0.12,0.183,0.798,124.955,202560,4,0
Taking on December,Attached to You,2JnrtUEX0NwFzzyfzm0uyU,30,0.364,0.605,1,-10.238,1,0.0316,0.0,0.162,0.197,74.985,218364,4,0
Karly D,Informed Decisions,4Cde8d8vgWNtot47PHF6VD,4,0.631,0.147,8,-23.826,1,0.0395,0.0885,0.159,0.0968,115.016,209870,4,0
Becky Krill,Alive in the Summertime,7LROpaCXkTu5BNr40byBC7,19,0.603,0.731,0,-6.374,1,0.0596,0.000118,0.124,0.274,116.093,170972,4,0
MARIS,Apprehension,6Ykl3CJlbPBYIYZH9oO9v8,8,0.311,0.0875,9,-18.691,0,0.0414,0.0151,0.167,0.286,135.535,169391,4,0
Froys Yard,Did He Fall?,0RidpGMC3H625Y2NI4yq9J,7,0.669,0.292,2,-11.403,0,0.0365,0.0,0.106,0.165,89.973,109405,4,0
George Pelham,Guilty,0zxBOWaW1eenGNiY3SA1JB,18,0.596,0.822,2,-4.989,0,0.0562,0.0,0.314,0.815,88.511,170847,4,0
Dawn of a New World,Restless,4jLjUooWB0B1UEhZSPRmol,7,0.512,0.527,6,-9.668,1,0.0306,0.414,0.112,0.053,124.03,234194,4,0
Erika Lamon,Omen,5fOrAWxvQrTW5aZ3KcKKLs,5,0.661,0.463,9,-10.347,0,0.0274,0.013,0.181,0.229,125.038,258427,4,0
Andrew Brien,Without You,1qlFGGE2SqdqFwjo7bHAnP,20,0.497,0.723,3,-6.122,1,0.0485,0.0,0.101,0.527,187.903,162000,4,0
Sapphire Henson,Dreamin',7zt4P1htjhYMjPSTBgpzil,14,0.461,0.0199,5,-20.025,1,0.0576,0.00165,0.0736,0.127,77.326,224444,5,0
LIV,Playin',0ppoaaM3IBvJAzHWjmgV61,23,0.851,0.426,9,-8.725,1,0.175,5.2e-05,0.109,0.102,100.078,214861,4,0
Echoes from Infinity,Afterglow,7vFWSLV5NTKcB0o2o3apXq,10,0.508,0.448,9,-9.631,0,0.0307,0.957,0.153,0.162,146.032,167260,4,0
Walter Di Bello,Aaran (Acoustic),6E59ZuNFMbt6Ok3KUlDMO9,13,0.581,0.195,7,-12.415,1,0.0368,0.0,0.095,0.19,95.028,157038,4,0
V!V,Sun x Moon,61OGJsVq8e9oej7wbdsEB2,24,0.72,0.587,6,-9.602,1,0.148,2.48e-05,0.123,0.577,97.957,240538,4,0
Auro,Move That Body,11tXQfysg7t5aOIqBysQ1j,26,0.726,0.698,6,-6.218,1,0.0357,0.000279,0.279,0.4,100.005,221147,4,0
Jasmine,My flesh and blood,2ssdVv0E3kVJLZq5NE8NwQ,13,0.655,0.197,9,-11.244,1,0.0313,4.48e-06,0.122,0.155,110.995,297428,4,0
Pretty Ugly Boy,Time Waster,3vgm6snFIOQxGKaHNJtslz,7,0.722,0.529,11,-13.497,0,0.0465,0.783,0.0809,0.883,108.022,157739,4,0
Ryan Ave,Numb,2kk0IS3hphw30P9TZdQt46,18,0.603,0.77,11,-4.291,1,0.116,0.0,0.128,0.438,157.927,161033,4,0
